Test Case,Our Metrics_Distance Metric,Our Metrics_Visibility Metric,Our Metrics_Legibility Metric,Our Metrics_Nominal Trajectory Metric,Distance + Visibility_Distance Metric,Distance + Visibility_Visibility Metric,Distance + Visibility_Legibility Metric,Distance + Visibility_Nominal Trajectory Metric,Legibility_Distance Metric,Legibility_Visibility Metric,Legibility_Legibility Metric,Legibility_Nominal Trajectory Metric,Nominal Trajectory_Distance Metric,Nominal Trajectory_Visibility Metric,Nominal Trajectory_Legibility Metric,Nominal Trajectory_Nominal Trajectory Metric,Speed Control_Distance Metric,Speed Control_Visibility Metric,Speed Control_Legibility Metric,Speed Control_Nominal Trajectory Metric
120,0.655,1.0,0.6460113145261175,5.626359448363938,0.155,1.0,0.46004893282025383,0.5690697873351617,0.165,1.0,0.5237441356593047,1.0092660975662493,0.13,1.0,0.4655391719994397,0.0,0.0,1.0,-0.019181797632535247,9.463303180127825
120,0.655,1.0,0.6460113145261175,5.626359448363938,0.155,1.0,0.46004893282025383,0.5690697873351617,0.165,1.0,0.5237441356593047,1.0092660975662493,0.13,1.0,0.4655391719994397,0.0,0.0,1.0,-0.019181797632535247,9.463303180127825
120,0.655,1.0,0.6460113145261175,5.626359448363938,0.155,1.0,0.46004893282025383,0.5690697873351617,0.165,1.0,0.5237441356593047,1.0092660975662493,0.13,1.0,0.4655391719994397,0.0,0.0,1.0,-0.019181797632535247,9.463303180127825
120,0.655,1.0,0.6460113145261175,5.626359448363938,0.155,1.0,0.46004893282025383,0.5690697873351617,0.165,1.0,0.5237441356593047,1.0092660975662493,0.13,1.0,0.4655391719994397,0.0,0.0,1.0,-0.019181797632535247,9.463303180127825
120,0.655,1.0,0.6460113145261175,5.626359448363938,0.155,1.0,0.46004893282025383,0.5690697873351617,0.165,1.0,0.5237441356593047,1.0092660975662493,0.13,1.0,0.4655391719994397,0.0,0.0,1.0,-0.019181797632535247,9.463303180127825
520,0.91,1.0,0.6460113145261175,5.626359448363938,0.4,1.0,0.4633763545277563,0.20669424858263594,0.355,1.0,0.5237441356593047,1.0092660975662493,0.38,1.0,0.4655391719994397,0.0,0.38,1.0,0.46553917199943995,2.8406084775229692e-14
120,0.655,1.0,0.6460113145261175,5.626359448363938,0.155,1.0,0.46004893282025383,0.5690697873351617,0.165,1.0,0.5237441356593047,1.0092660975662493,0.13,1.0,0.4655391719994397,0.0,0.0,1.0,-0.019181797632535247,9.463303180127825
120,0.655,1.0,0.6460113145261175,5.626359448363938,0.155,1.0,0.46004893282025383,0.5690697873351617,0.165,1.0,0.5237441356593047,1.0092660975662493,0.13,1.0,0.4655391719994397,0.0,0.0,1.0,-0.019181797632535247,9.463303180127825
2610,1.0,1.0,0.347537652948974,2.464866304681659,1.0,1.0,0.12033491318806977,0.19503631037091332,1.0,1.0,0.4196580044103322,3.64472082658082,1.0,1.0,0.12497387998895593,0.0,1.0,1.0,0.12497387998895593,2.3134018016896947e-14
2610,1.0,1.0,0.347537652948974,2.464866304681659,1.0,1.0,0.12033491318806977,0.19503631037091332,1.0,1.0,0.4196580044103322,3.64472082658082,1.0,1.0,0.12497387998895593,0.0,1.0,1.0,0.12497387998895593,2.3134018016896947e-14
2600,0.52,1.0,0.44371746897761943,2.4758374405728154,0.585,1.0,0.06156903537599523,3.2003288335545754,0.385,1.0,0.4196580044103322,3.64472082658082,0.485,1.0,0.12497387998895593,0.0,0.485,1.0,0.0134619347935504,2.023934831573262
120,0.59,1.0,0.514831621761956,3.733227374174132,0.455,1.0,0.1011009529565714,0.5894096138344397,0.3,1.0,0.4196580044103322,3.64472082658082,0.43,1.0,0.12497387998895593,0.0,0.435,1.0,0.004781210185360041,2.4363427625449368
2610,1.0,1.0,0.347537652948974,2.464866304681659,1.0,1.0,0.12033491318806977,0.19503631037091332,1.0,1.0,0.4196580044103322,3.64472082658082,1.0,1.0,0.12497387998895593,0.0,1.0,1.0,0.12497387998895593,2.3134018016896947e-14
120,0.59,1.0,0.514831621761956,3.733227374174132,0.455,1.0,0.1011009529565714,0.5894096138344397,0.3,1.0,0.4196580044103322,3.64472082658082,0.43,1.0,0.12497387998895593,0.0,0.435,1.0,0.004781210185360041,2.4363427625449368
